Ref,Designator,Value,Footprint,Qty,Unit USD,Total USD,Note,Source
U1,STM32G491RET6,STM32G491RET6,LQFP-64_10x10mm_P0.5mm,1,6.20,6.20,SoC ARM Cortex-M4F 170MHz CORDIC FMAC,Mouser
U2,TP4056,TP4056,SOP-8,1,0.45,0.45,Li-ion charger,LCSC
U3,MCP1640B,MCP1640B,SOT-23-5,1,1.10,1.10,3.7→5V boost,LCSC
U4,TPS65131,TPS65131,TSSOP-24,1,3.80,3.80,Dual ±10V supply,Mouser
U5,AP2112-3.3,AP2112-3.3,SOT-23-5,1,0.30,0.30,3.3V digital LDO,LCSC
U6,LP5907-3.3,LP5907-3.3,SOT-23-5,1,1.20,1.20,Ultra-low-noise 3.3V analog LDO,Mouser
U7,REF3030,REF3030,SOT-23-3,1,1.80,1.80,3.0V 0.2% VREF,Mouser
U8,PGA204,PGA204,SOIC-16,1,8.50,8.50,Instrumentation amp 1/2/4/8x,TI
U9,PGA113,PGA113,VSSOP-10,1,3.20,3.20,PGA 1..128x,TI
U10,Bessel LPF,2nd-order Bessel 200kHz,SOIC-8,1,1.50,1.50,OPA + RC anti-alias,LCSC
U11,OPA569,OPA569,SO-20,1,9.80,9.80,Power op-amp ±10V 200mA,TI
U12,W25Q128JVSIQ,W25Q128,SOIC-8,1,1.10,1.10,16 MB SPI flash (option),LCSC
U13,SH1106 OLED,SH1106 1.3" 128x64 I2C,Module,1,2.80,2.80,OLED display,LCSC
U14,ADS1115,ADS1115,MSOP-10,1,2.40,2.40,16-bit aux ADC,Adafruit
U15,ESP32-C3-MINI-1,ESP32-C3-MINI-1,Module,1,2.70,2.70,BLE bridge,LCSC
BT1,18650 holder,18650 3.7V 2600mAh,Keystone 1042,1,2.50,2.50,Battery (not in BOM cost),Local
J1,USB-C,USB-C 2.0 receptacle,USB-C 16-pin,1,0.60,0.60,Charge port,LCSC
J2,MicroSD,MicroSD socket push-push,MMCX,1,1.10,1.10,SD card slot,LCSC
J3,BNC Signal In,BNC PCB-mount 50 ohm,BNC,1,1.80,1.80,Signal input,Newark
J4,BNC Ref Out,BNC PCB-mount 50 ohm,BNC,1,1.80,1.80,Ref output,Newark
J5,BNC Aux Out,BNC PCB-mount 50 ohm,BNC,1,1.80,1.80,Aux out,Newark
J6,BNC Aux In,BNC PCB-mount 50 ohm,BNC,1,1.80,1.80,Aux in,Newark
SW1,EC11 encoder,EC11 rotary encoder,EC11,1,1.20,1.20,Rotary nav,LCSC
SW2,Mode button,TS-1187A tactile,TACT-6x6,1,0.15,0.15,Mode,LCSC
SW3,Run button,TS-1187A tactile,TACT-6x6,1,0.15,0.15,Run/Stop,LCSC
D1,WS2812B,WS2812B,LED-5050,1,0.20,0.20,RGB status LED,LCSC
R1-R6,PGA gain resistors,10k 1%,R_0603,6,0.02,0.12,Gain select pull-ups,LCSC
R7,Battery divider,100k 1%,R_0603,2,0.02,0.04,Vbat 2:1 divider,LCSC
R8,Signal div,165k 1%,R_0603,2,0.03,0.06,±10V → 3.3V divider,LCSC
C1-C6,Decoupling 100n,100n X7R,C_0603,6,0.02,0.12,Decoupling,LCSC
C7-C8,Decoupling 10u,10u X5R,C_0805,2,0.05,0.10,Bulk decoupling,LCSC
C9,VREF cap,1u X7R,C_0603,1,0.03,0.03,VREF decoupling,LCSC
C10,Reconstruction LPF,1n C0G,C_0603,4,0.05,0.20,DAC reconstruction filter,LCSC
L1-L2,Ferrite beads,BLM18PG121,FB-0603,2,0.10,0.20,Analog/digital isolation,LCSC
PCB,PCB,4-layer 80x40mm,JLCPCB,1,4.00,4.00,4-layer PCB fab,JLCPCB
MISC,Enclosure,3D-printed PLA,Custom,1,1.50,1.50,Case (optional),Local
,,Total,,,,~$62.00,,
